EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
3624.38,3594.25,3579.05,3586.02,3603.55,3637.79,3587.72,3622.5,-0.029541,0.996338,0.244385,-0.671387,2.50244,0.366211,66.6667,30,1,Arrow,Left,328354
3625.99,3595.86,3581.91,3587.28,3606.32,3640.21,3590.23,3623.75,-0.0307617,0.996582,0.245361,-0.732422,2.47192,0.457764,66.6667,31,1,Arrow,Left,330827
3627.33,3596.93,3583.79,3589.15,3608.56,3642.26,3593.09,3625.54,-0.0341797,0.996582,0.244873,-0.762939,2.31934,0.457764,66.6667,32,1,Arrow,Left,333370
3628.85,3598.01,3586.74,3590.49,3610.79,3644.77,3595.32,3626.7,-0.0324707,0.998047,0.242676,-0.823975,2.22778,0.427246,66.6667,33,1,Arrow,Left,335946
3629.48,3598.9,3589.15,3592.91,3612.22,3646.82,3597.74,3627.6,-0.0332031,0.999268,0.243896,-0.915527,2.10571,0.335693,66.6667,34,1,Arrow,Left,388448
3630.28,3600.15,3591.12,3594.34,3613.74,3648.16,3599.17,3628.85,-0.0317383,0.999512,0.241699,-0.976562,2.04468,0.457764,66.6667,35,1,Arrow,Left,390869
3632.07,3602.48,3592.91,3596.13,3615.44,3649.95,3601.22,3630.64,-0.0317383,0.99707,0.241455,-1.15967,1.98364,0.457764,66.6667,36,1,Arrow,Left,393331
3633.59,3603.73,3595.41,3598.01,3617.67,3651.29,3603.55,3631.53,-0.0302734,0.996826,0.240234,-1.28174,1.95312,0.427246,66.6667,37,1,Arrow,Left,395878
3634.66,3604.44,3597.47,3599.88,3619.11,3652.81,3604.8,3632.43,-0.0275879,0.996338,0.24292,-1.31226,1.92261,0.518799,66.6667,38,1,Arrow,Left,398272
3635.47,3606.05,3598.72,3600.96,3620.36,3654.33,3606.32,3633.41,-0.0275879,0.996338,0.240479,-1.37329,1.86157,0.701904,66.6667,39,1,Arrow,Left,400776
3636.09,3607.21,3600.78,3602.56,3621.07,3655.31,3607.21,3634.75,-0.0266113,0.997803,0.240967,-1.40381,1.86157,0.701904,66.6667,40,1,Arrow,Left,467028
3636.99,3608.29,3602.21,3603.91,3622.32,3656.12,3608.56,3635.02,-0.0263672,0.999756,0.240967,-1.52588,1.86157,0.823975,66.6667,41,1,Arrow,Left,520964
3638.06,3609.45,3603.64,3605.43,3623.75,3656.57,3609.45,3636.27,-0.0251465,0.996338,0.241699,-1.5564,1.92261,0.915527,66.6667,42,1,Arrow,Left,523342
3639.22,3610.97,3605.43,3607.39,3625.1,3657.1,3611.24,3637.52,-0.0239258,0.995605,0.240723,-1.61743,1.95312,0.976562,66.6667,43,1,Arrow,Left,525789
3640.65,3611.86,3607.21,3608.82,3626.17,3657.55,3612.58,3638.06,-0.0241699,0.994385,0.243164,-1.86157,2.01416,0.88501,66.6667,44,1,Arrow,Left,528269
3641.19,3612.13,3608.38,3609.99,3626.79,3658.8,3613.2,3638.33,-0.0227051,0.991699,0.242676,-1.98364,2.10571,1.00708,66.6667,45,1,Arrow,Left,530816
3641.81,3612.85,3609.45,3610.97,3627.87,3659.61,3613.92,3639.31,-0.0219727,0.98877,0.239746,-1.92261,2.16675,1.06812,66.6667,46,1,Arrow,Left,583533
3642.8,3614.19,3609.99,3612.22,3628.76,3659.79,3615.17,3640.21,-0.0222168,0.985596,0.241455,-2.04468,2.22778,1.2207,66.6667,47,1,Arrow,Left,585819
3643.69,3615.26,3611.42,3613.2,3629.57,3660.41,3615.89,3640.29,-0.0222168,0.983643,0.240967,-2.01416,2.38037,1.28174,66.6667,48,1,Arrow,Left,588299
3644.14,3616.24,3612.76,3614.28,3630.28,3660.41,3616.42,3640.92,-0.0244141,0.979004,0.242432,-1.92261,2.38037,1.19019,66.6667,49,1,Arrow,Left,590790
3644.41,3617.32,3614.01,3615.08,3631.18,3661.22,3617.23,3641.55,-0.0244141,0.979004,0.243408,-1.67847,2.38037,1.2207,66.6667,50,1,Arrow,Left,593312
3645.03,3617.94,3614.55,3616.51,3632.07,3662.02,3618.57,3642.08,-0.0249023,0.97876,0.242188,-1.61743,2.44141,1.19019,66.6667,51,1,Arrow,Left,595817
3646.11,3618.84,3615.44,3617.05,3633.14,3662.47,3619.28,3642.44,-0.0244141,0.980225,0.240967,-1.43433,2.50244,1.15967,66.6667,52,1,Arrow,Left,652325
3646.28,3619.28,3616.33,3618.03,3633.14,3662.47,3619.91,3643.51,-0.0253906,0.981689,0.242432,-1.37329,2.47192,1.15967,66.6667,53,1,Arrow,Left,654558
3646.82,3619.91,3616.69,3619.28,3633.68,3662.91,3620.09,3644.23,-0.0246582,0.983154,0.243896,-1.40381,2.47192,1.00708,66.6667,54,1,Arrow,Left,657141
3647.45,3620.27,3617.23,3619.73,3634.04,3663.09,3620.63,3644.68,-0.0241699,0.983887,0.245361,-1.37329,2.47192,0.976562,66.6667,55,1,Arrow,Left,659880
3647.98,3620.89,3618.39,3620.36,3635.11,3663.63,3621.43,3644.94,-0.0227051,0.984131,0.244629,-1.25122,2.50244,0.854492,66.6667,56,1,Arrow,Left,686228
3648.34,3621.7,3618.57,3621.25,3635.82,3664.17,3621.88,3644.94,-0.0234375,0.983398,0.243896,-1.15967,2.50244,0.732422,66.6667,57,1,Arrow,Left,686392
3649.24,3622.32,3619.46,3621.61,3636.45,3664.43,3622.5,3645.21,-0.0249023,0.982178,0.242676,-1.06812,2.62451,0.610352,66.6667,58,1,Arrow,Left,686518
3649.95,3623.13,3620.18,3621.97,3636.99,3664.7,3623.58,3646.2,-0.0229492,0.983643,0.243164,-1.06812,2.62451,0.640869,66.6667,59,1,Arrow,Left,686641
2404.69,2378.14,2375.36,2378.14,2391.99,2419.71,2379.21,2401.74,-0.0239258,0.985352,0.244141,-0.915527,2.62451,0.610352,66.6667,60,1,Arrow,Left,686771
-2584.4,-2612.02,-2612.65,-2610.42,-2598.08,-2570.99,-2609.25,-2587.35,-0.0241699,0.987793,0.240234,-0.946045,2.68555,0.610352,66.6667,61,1,Arrow,Left,714640
-3833.5,-3860.68,-3861.4,-3859.16,-3847.54,-3820.45,-3858.09,-3836.45,-0.0244141,0.98877,0.23999,-0.88501,2.71606,0.640869,66.6667,62,1,Arrow,Left,717055
-3832.79,-3860.33,-3860.95,-3858.45,-3847.36,-3820,-3857.91,-3836.01,-0.0246582,0.991699,0.242676,-0.946045,2.65503,0.579834,66.6667,63,1,Arrow,Left,719545
-3832.97,-3860.15,-3860.68,-3858.09,-3846.91,-3819.65,-3857.55,-3835.74,-0.0253906,0.992676,0.243652,-1.00708,2.74658,0.610352,66.6667,64,1,Arrow,Left,787295
